Item,Item code,Type,Parent code,Link
Processteknik,INPRO,focus,IN,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=IN001&orientationCode=INPRO&orientationName=Processteknik&a=INPRO&tos=gy
Produkt och maskinteknik,INPRK,focus,IN,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=IN001&orientationCode=INPRK&orientationName=Produkt+och+maskinteknik&a=INPRK&tos=gy
Svetsteknik,INSVE,focus,IN,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=IN001&orientationCode=INSVE&orientationName=Svetsteknik&a=INSVE&tos=gy
Marinteknikutbildningen,MX,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=MX&version=2&tos=gy
El och elektronik,MXELO,focus,MX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=MX&orientationCode=MXELO&orientationName=El+och+elektronik&a=MXELO&tos=gy
Service och reparation,MXSER,focus,MX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=MX&orientationCode=MXSER&orientationName=Service+och+reparation&a=MXSER&tos=gy
Naturbruksprogrammet,NB,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&version=21&tos=gy
Djurvård,NBDJR,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBDJR&orientationName=Djurv%C3%A5rd&a=NBDJR&tos=gy
Hästhållning,NBHAT,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBHAT&orientationName=H%C3%A4sth%C3%A5llning&a=NBHAT&tos=gy
Lantbruk,NBLAN,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBLAN&orientationName=Lantbruk&a=NBLAN&tos=gy
